,Team,Match Played,Won,Loose,Goals,Goal Difference,Points
1,FC Barcelona,38,31,1,98:24,74,99
2,Real Madrid,38,31,4,102:35,67,96
3,Valencia,38,21,9,59:40,19,71
4,Sevilla FC,38,19,13,65:49,16,63
5,RCD Mallorca,38,18,12,59:44,15,62
6,Getafe,38,17,14,58:48,10,58
7,Villarreal,38,16,14,58:57,1,56
8,Athletic,38,15,14,50:53,-3,54
9,Atlético Madrid,38,13,17,57:61,-4,47
10,Dep. La Coruña,38,13,17,35:49,-14,47
11,Espanyol,38,11,16,29:46,-17,44
12,CA Osasuna,38,11,17,37:46,-9,43
13,UD Almería,38,10,16,43:55,-12,42
14,Real Zaragoza,38,10,17,46:64,-18,41
15,Sporting Gijón,38,9,16,36:51,-15,40
16,Racing,38,9,17,42:59,-17,39
17,Málaga CF,38,7,15,42:48,-6,37
18,CD Tenerife,38,9,20,40:74,-34,36
19,Real Valladolid,38,7,16,37:62,-25,36
20,Xerez CD,38,8,20,38:66,-28,34
